id;centro_salud_id;nombre;direccion;telefono;vigente
1;22515;tired weird;ponder shovel;shred;w
2;17729;among pivot;awesome arrogantly;forgo;a
3;10137;hourly accidentally sway;even likable;utilized;f
4;31520;daintily smug;numeracy questionably equate;dwell above pfft;u
5;5497;gape claw pro;vaguely modulo;sans;r
6;29899;slimy;dreary lasting;esteemed;m
7;11110;quart till around;nor;punctuation till;w
8;9733;yum ick;jiggle sting;meander towards;p
9;16844;incidentally;for kindheartedly;vacantly white ouch;v
10;11725;questionably prejudge pro;oddly ornery minority;reborn;k
